N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
500,ucb,rep_cap,10,1.0,0.00390625,0.03393251011309184,0.9636363636363636,0.0211276273159592,0.04612853653165433,True,group,ucb,f1_collapsed,wilcoxon,holm
100,ucb,class_greedy,10,3.0,0.009765625,0.010065946192472775,0.8909090909090909,0.0045628090104568,0.015655646999239246,False,group,ucb,f1_collapsed,wilcoxon,holm
500,ucb,fedcs,10,5.0,0.01953125,0.030299657839939497,0.8181818181818182,0.014924057457259903,0.043528471627910126,False,group,ucb,f1_collapsed,wilcoxon,holm
200,ucb,power_of_choice,10,6.0,0.02734375,0.010005766936181557,0.7818181818181819,0.0028398149423276343,0.017942215876659225,False,group,ucb,f1_collapsed,wilcoxon,holm
100,ucb,random,10,7.0,0.037109375,0.014326347811299983,0.7454545454545455,0.004284702749311863,0.0244860145522578,False,group,ucb,f1_collapsed,wilcoxon,holm
200,ucb,class_greedy,10,7.0,0.037109375,-0.010193705072748457,-0.7454545454545455,-0.018245398289670225,-0.002200344008033628,False,group,ucb,f1_collapsed,wilcoxon,holm
500,ucb,random,10,9.0,0.064453125,0.009852787420214842,0.6727272727272727,0.002629970044341603,0.016984563474715133,False,group,ucb,f1_collapsed,wilcoxon,holm
500,ucb,class_greedy,10,9.0,0.064453125,0.015326163210414055,0.6727272727272727,0.002815237667988266,0.029208691352277154,False,group,ucb,f1_collapsed,wilcoxon,holm
100,ucb,ucb_noclass,10,9.0,0.064453125,0.008643012369775726,0.6727272727272727,0.001868029772160474,0.015958555576751673,False,group,ucb,f1_collapsed,wilcoxon,holm
200,ucb,oort,10,10.0,0.083984375,0.009046647163069136,0.6363636363636364,0.0014248573259353866,0.016965451162393584,False,group,ucb,f1_collapsed,wilcoxon,holm
100,ucb,fedcs,10,13.0,0.16015625,0.005731258266001288,0.5272727272727272,-0.0014951652784341326,0.012288758494008163,False,group,ucb,f1_collapsed,wilcoxon,holm
100,ucb,oort,10,15.0,0.232421875,0.006831561672128406,0.45454545454545453,-0.003661186385268927,0.018720733287144464,False,group,ucb,f1_collapsed,wilcoxon,holm
500,ucb,ucb_noclass,10,17.0,0.322265625,0.008735969841970628,0.38181818181818183,-0.008423121569633775,0.024037638098485865,False,group,ucb,f1_collapsed,wilcoxon,holm
100,ucb,rep_cap,10,19.0,0.431640625,0.004362901783843862,0.3090909090909091,-0.006205160118703889,0.015420127124767636,False,group,ucb,f1_collapsed,wilcoxon,holm
200,ucb,rep_cap,10,19.0,0.431640625,0.00467056401108335,0.3090909090909091,-0.004353265087864813,0.014697840430518147,False,group,ucb,f1_collapsed,wilcoxon,holm
200,ucb,fedcs,10,20.0,0.4921875,5.757390995406175e-06,0.2727272727272727,-0.010767731926143137,0.009288605432289727,False,group,ucb,f1_collapsed,wilcoxon,holm
200,ucb,ucb_pseudo,10,21.0,0.556640625,0.004312988610672327,0.23636363636363636,-0.0030302625521211185,0.013585042448527382,False,group,ucb,f1_collapsed,wilcoxon,holm
200,ucb,fair_mab,10,23.0,0.6953125,0.001950679680207895,0.16363636363636364,-0.005009878189475652,0.009015331553363676,False,group,ucb,f1_collapsed,wilcoxon,holm
500,ucb,oort,10,23.0,0.6953125,0.0027822609404580673,0.16363636363636364,-0.009202636368050464,0.014932878321874543,False,group,ucb,f1_collapsed,wilcoxon,holm
200,ucb,random,10,23.0,0.6953125,-0.002656703610067307,-0.16363636363636364,-0.012141552596350377,0.005916243276444027,False,group,ucb,f1_collapsed,wilcoxon,holm
500,ucb,fair_mab,10,24.0,0.76953125,0.0030430204148421598,0.12727272727272726,-0.012170222861358135,0.01670693500900966,False,group,ucb,f1_collapsed,wilcoxon,holm
200,ucb,ucb_noclass,10,25.0,0.845703125,0.0009614602700480784,0.09090909090909091,-0.004861359617996296,0.006936145292754876,False,group,ucb,f1_collapsed,wilcoxon,holm
500,ucb,power_of_choice,10,25.0,0.845703125,0.00038211458563000014,0.09090909090909091,-0.012542630757392838,0.012521314948774951,False,group,ucb,f1_collapsed,wilcoxon,holm
100,ucb,power_of_choice,10,26.0,0.921875,0.00015670918581822956,-0.05454545454545454,-0.00905331793988478,0.01002865539871479,False,group,ucb,f1_collapsed,wilcoxon,holm
100,ucb,fair_mab,10,27.0,1.0,0.0004700488173841388,-0.01818181818181818,-0.008446333929718003,0.00901198309012128,False,group,ucb,f1_collapsed,wilcoxon,holm
100,ucb,ucb_pseudo,10,27.0,1.0,0.0011431528195461032,0.01818181818181818,-0.007996563476514604,0.011151772212945303,False,group,ucb,f1_collapsed,wilcoxon,holm
500,ucb,ucb_pseudo,10,27.0,1.0,0.00042671765242025537,-0.01818181818181818,-0.01092392808716912,0.011498711411188857,False,group,ucb,f1_collapsed,wilcoxon,holm
