N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
200,ucb,fedcs,10,0.0,0.001953125,0.016986051864918535,1.0,0.01059798841625991,0.023777685080012347,True,group,ucb,f1_missing,wilcoxon,holm
100,ucb,random,10,0.0,0.001953125,0.02093984756238797,1.0,0.014796269177573691,0.02705790918220689,True,group,ucb,f1_missing,wilcoxon,holm
200,ucb,random,10,0.0,0.001953125,0.014256625281846041,1.0,0.008087122205550195,0.02072036538206165,True,group,ucb,f1_missing,wilcoxon,holm
100,ucb,fedcs,10,1.0,0.00390625,0.015497660696082844,0.9636363636363636,0.009155536655514144,0.021926581554133965,True,group,ucb,f1_missing,wilcoxon,holm
500,ucb,power_of_choice,10,3.0,0.009765625,-0.01652178515896578,-0.8909090909090909,-0.02535770368878631,-0.008616478543966102,False,group,ucb,f1_missing,wilcoxon,holm
500,ucb,class_greedy,10,5.0,0.01953125,-0.009444504715106406,-0.8181818181818182,-0.014365771209713345,-0.004145568452906393,False,group,ucb,f1_missing,wilcoxon,holm
500,ucb,oort,10,5.0,0.01953125,-0.012120740996228821,-0.8181818181818182,-0.01895471601334722,-0.005309233009893713,False,group,ucb,f1_missing,wilcoxon,holm
500,ucb,fedcs,10,6.0,0.02734375,0.01707252397993144,0.7818181818181819,0.006814662558474688,0.027482631924735684,False,group,ucb,f1_missing,wilcoxon,holm
500,ucb,rep_cap,10,8.0,0.048828125,0.00908197203585522,0.7090909090909091,0.0028056703633426165,0.015262957460309397,False,group,ucb,f1_missing,wilcoxon,holm
200,ucb,power_of_choice,10,9.0,0.064453125,0.007134147206912611,0.6727272727272727,0.0012554848843614895,0.014879736478562484,False,group,ucb,f1_missing,wilcoxon,holm
500,ucb,fair_mab,10,12.0,0.130859375,-0.006677514891648426,-0.5636363636363636,-0.013620260579137669,0.00012993429904273028,False,group,ucb,f1_missing,wilcoxon,holm
500,ucb,ucb_noclass,10,13.0,0.16015625,-0.004453352412347516,-0.5272727272727272,-0.010673692308494109,0.001510926553931878,False,group,ucb,f1_missing,wilcoxon,holm
200,ucb,oort,10,16.0,0.275390625,0.0028519866732538033,0.41818181818181815,-0.001655291098530502,0.007537727042980428,False,group,ucb,f1_missing,wilcoxon,holm
100,ucb,power_of_choice,10,18.0,0.375,0.0010031603781583075,0.34545454545454546,-0.006325496895579152,0.007270683084285799,False,group,ucb,f1_missing,wilcoxon,holm
500,ucb,ucb_pseudo,10,19.0,0.431640625,-0.0029785604041315085,-0.3090909090909091,-0.01013088097427909,0.004487295198493325,False,group,ucb,f1_missing,wilcoxon,holm
200,ucb,fair_mab,10,21.0,0.556640625,0.0015677618641719293,0.23636363636363636,-0.0019274133158987067,0.005526758250645783,False,group,ucb,f1_missing,wilcoxon,holm
100,ucb,oort,10,21.0,0.556640625,-0.001290918286319953,-0.23636363636363636,-0.0069473367289389545,0.00452016038385855,False,group,ucb,f1_missing,wilcoxon,holm
500,ucb,random,10,22.0,0.625,0.0019237525895245467,0.2,-0.006538545953210784,0.010486657294190615,False,group,ucb,f1_missing,wilcoxon,holm
100,ucb,class_greedy,10,22.0,0.625,0.00027839716524557525,0.2,-0.0074491706144101215,0.006305212542659181,False,group,ucb,f1_missing,wilcoxon,holm
200,ucb,ucb_noclass,10,23.0,0.6953125,0.0005123444018850342,-0.16363636363636364,-0.004620697307141636,0.006694308954169374,False,group,ucb,f1_missing,wilcoxon,holm
100,ucb,ucb_pseudo,10,23.0,0.6953125,-0.00012345754356841155,0.16363636363636364,-0.0059403640731721516,0.004963014168289075,False,group,ucb,f1_missing,wilcoxon,holm
100,ucb,ucb_noclass,10,24.0,0.76953125,0.0004680186392471808,-0.12727272727272726,-0.004567204180901695,0.0066091470212952625,False,group,ucb,f1_missing,wilcoxon,holm
200,ucb,ucb_pseudo,10,24.0,0.76953125,0.0016686234965089808,0.12727272727272726,-0.003189524895333045,0.006833289506454495,False,group,ucb,f1_missing,wilcoxon,holm
100,ucb,rep_cap,10,24.0,0.76953125,0.002489487076172464,0.12727272727272726,-0.0033755262959704845,0.008903919171350316,False,group,ucb,f1_missing,wilcoxon,holm
200,ucb,rep_cap,10,25.0,0.845703125,-0.0005672763905287314,-0.09090909090909091,-0.00564368428615165,0.0046901699981304855,False,group,ucb,f1_missing,wilcoxon,holm
200,ucb,class_greedy,10,27.0,1.0,0.000618165094329498,-0.01818181818181818,-0.005736543994980842,0.006483207195374074,False,group,ucb,f1_missing,wilcoxon,holm
100,ucb,fair_mab,10,27.0,1.0,-0.00020934933441130177,0.01818181818181818,-0.006564738098962987,0.006324968688842126,False,group,ucb,f1_missing,wilcoxon,holm
