N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
100,ucb,fedcs,10,0.0,0.001953125,0.11750076812924788,1.0,0.09133994045040708,0.1443535207530764,True,group,ucb,f1_obstructed,wilcoxon,holm
200,ucb,fedcs,10,0.0,0.001953125,0.1035026410216578,1.0,0.07782549247512559,0.12874307128608053,True,group,ucb,f1_obstructed,wilcoxon,holm
500,ucb,fair_mab,10,0.0,0.001953125,0.09437828209397095,1.0,0.06073108619270861,0.12627575863827456,True,group,ucb,f1_obstructed,wilcoxon,holm
500,ucb,fedcs,10,0.0,0.001953125,0.10477976686462606,1.0,0.0753470275118634,0.1348335717931358,True,group,ucb,f1_obstructed,wilcoxon,holm
500,ucb,oort,10,0.0,0.001953125,0.06581425449115752,1.0,0.05451966068920406,0.07765265101882177,True,group,ucb,f1_obstructed,wilcoxon,holm
100,ucb,random,10,0.0,0.001953125,0.11448168285080125,1.0,0.08583991822573868,0.14358184899377444,True,group,ucb,f1_obstructed,wilcoxon,holm
500,ucb,ucb_noclass,10,0.0,0.001953125,0.06863263362085695,1.0,0.04861184014289316,0.09243832267359253,True,group,ucb,f1_obstructed,wilcoxon,holm
500,ucb,random,10,0.0,0.001953125,0.10548925900041502,1.0,0.07106253333677928,0.1392465334796142,True,group,ucb,f1_obstructed,wilcoxon,holm
500,ucb,power_of_choice,10,1.0,0.00390625,0.05439293211920628,0.9636363636363636,0.03626289179967469,0.07163329118093026,True,group,ucb,f1_obstructed,wilcoxon,holm
500,ucb,class_greedy,10,1.0,0.00390625,-0.06250706321424031,-0.9636363636363636,-0.08121633691875886,-0.04027499033659302,True,group,ucb,f1_obstructed,wilcoxon,holm
100,ucb,power_of_choice,10,1.0,0.00390625,0.0734069134613882,0.9636363636363636,0.037896740001620986,0.11452871622769512,True,group,ucb,f1_obstructed,wilcoxon,holm
500,ucb,rep_cap,10,3.0,0.009765625,0.06867018668727609,0.8909090909090909,0.03388612351357869,0.09674686710436692,True,group,ucb,f1_obstructed,wilcoxon,holm
200,ucb,random,10,3.0,0.009765625,0.07885023027654844,0.8909090909090909,0.039913845732129506,0.11664006527264602,False,group,ucb,f1_obstructed,wilcoxon,holm
100,ucb,oort,10,5.0,0.01953125,0.03768599397319695,0.8181818181818182,0.013272120211082608,0.06186453968919536,False,group,ucb,f1_obstructed,wilcoxon,holm
200,ucb,oort,10,5.0,0.01953125,0.04507033597692608,0.8181818181818182,0.01668189470951114,0.07324321990572277,False,group,ucb,f1_obstructed,wilcoxon,holm
100,ucb,fair_mab,10,8.0,0.048828125,0.029593367821101196,0.7090909090909091,0.006224627202014968,0.0564037927134467,False,group,ucb,f1_obstructed,wilcoxon,holm
500,ucb,ucb_pseudo,10,8.0,0.048828125,0.040478982651410936,0.7090909090909091,0.0098315002313831,0.07679402557959952,True,group,ucb,f1_obstructed,wilcoxon,holm
200,ucb,power_of_choice,10,8.0,0.048828125,0.03877576555207979,0.7090909090909091,0.008612879954740955,0.06846939692736616,False,group,ucb,f1_obstructed,wilcoxon,holm
200,ucb,class_greedy,10,10.0,0.083984375,0.047179257320937217,0.6363636363636364,0.004352679486904051,0.08606709116345007,False,group,ucb,f1_obstructed,wilcoxon,holm
200,ucb,rep_cap,10,10.0,0.083984375,0.02680658147456196,0.6363636363636364,0.00012240653158193007,0.05002695151915162,False,group,ucb,f1_obstructed,wilcoxon,holm
100,ucb,rep_cap,10,14.0,0.193359375,0.022691663908938682,0.4909090909090909,-0.0034264181271033366,0.0531014498257129,False,group,ucb,f1_obstructed,wilcoxon,holm
100,ucb,ucb_noclass,10,15.0,0.232421875,0.03325166474438304,0.45454545454545453,-0.00349193469688659,0.07114100901605855,False,group,ucb,f1_obstructed,wilcoxon,holm
200,ucb,ucb_noclass,10,19.0,0.431640625,0.004629938777019405,0.3090909090909091,-0.02522758667188219,0.029184856394312206,False,group,ucb,f1_obstructed,wilcoxon,holm
100,ucb,ucb_pseudo,10,23.0,0.6953125,-0.0023518509566257616,-0.16363636363636364,-0.024643152581715084,0.022887240282133167,False,group,ucb,f1_obstructed,wilcoxon,holm
200,ucb,fair_mab,10,24.0,0.76953125,0.001355576923851215,-0.12727272727272726,-0.01854430442159367,0.02575768618344787,False,group,ucb,f1_obstructed,wilcoxon,holm
200,ucb,ucb_pseudo,10,25.0,0.845703125,-0.007857067872488821,-0.09090909090909091,-0.035504408792530716,0.01920764317957056,False,group,ucb,f1_obstructed,wilcoxon,holm
100,ucb,class_greedy,10,26.0,0.921875,-0.0037480751312092163,-0.05454545454545454,-0.030049181321257362,0.02316897646731076,False,group,ucb,f1_obstructed,wilcoxon,holm
