N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
500,ucb,class_greedy,10,0.0,0.001953125,0.09063873454200254,1.0,0.08052681029996496,0.10341988849627798,True,group,ucb,f1_survived,wilcoxon,holm
500,ucb,oort,10,0.0,0.001953125,0.10078743993198688,1.0,0.08676022885636099,0.1163938501886079,True,group,ucb,f1_survived,wilcoxon,holm
500,ucb,power_of_choice,10,0.0,0.001953125,0.07805067017517875,1.0,0.06314540638394288,0.09172167114185235,True,group,ucb,f1_survived,wilcoxon,holm
500,ucb,rep_cap,10,1.0,0.00390625,0.023321731641575492,0.9636363636363636,0.010779991493403342,0.03760682960388005,True,group,ucb,f1_survived,wilcoxon,holm
500,ucb,fedcs,10,2.0,0.005859375,0.02774088189249104,0.9272727272727272,0.013850729431139889,0.043032835956865995,True,group,ucb,f1_survived,wilcoxon,holm
100,ucb,ucb_noclass,10,8.0,0.048828125,-0.010806665088703482,-0.7090909090909091,-0.020288107678915267,-0.0026617961449102038,False,group,ucb,f1_survived,wilcoxon,holm
100,ucb,random,10,9.0,0.064453125,0.018576525383799336,0.6727272727272727,0.00205245786329876,0.033588535619448544,False,group,ucb,f1_survived,wilcoxon,holm
500,ucb,ucb_noclass,10,10.0,0.083984375,-0.017346076608755135,-0.6363636363636364,-0.030956679871620048,-0.002553979867757842,False,group,ucb,f1_survived,wilcoxon,holm
200,ucb,power_of_choice,10,14.0,0.193359375,0.009397280423558174,0.4909090909090909,-0.0007123035436364311,0.019230078509958594,False,group,ucb,f1_survived,wilcoxon,holm
100,ucb,fair_mab,10,14.0,0.193359375,-0.0067637054304305,-0.4909090909090909,-0.01860497759704519,0.0045044928500256876,False,group,ucb,f1_survived,wilcoxon,holm
200,ucb,fair_mab,10,15.0,0.232421875,-0.007720553042665712,-0.45454545454545453,-0.017956027570775517,0.0024812806671599373,False,group,ucb,f1_survived,wilcoxon,holm
100,ucb,fedcs,10,16.0,0.275390625,0.00439239621406049,0.41818181818181815,-0.013874620325361903,0.019289805832035555,False,group,ucb,f1_survived,wilcoxon,holm
500,ucb,fair_mab,10,17.0,0.322265625,-0.008116862008400727,-0.38181818181818183,-0.02111807633304608,0.004592009193938425,False,group,ucb,f1_survived,wilcoxon,holm
100,ucb,power_of_choice,10,17.0,0.322265625,-0.009557017534316647,-0.38181818181818183,-0.02510335050936973,0.0027172861424597313,False,group,ucb,f1_survived,wilcoxon,holm
200,ucb,rep_cap,10,20.0,0.4921875,0.003185242739747207,0.2727272727272727,-0.002127512236899594,0.008815438592885794,False,group,ucb,f1_survived,wilcoxon,holm
200,ucb,fedcs,10,20.0,0.4921875,0.0035101529341290405,0.2727272727272727,-0.007496369519767874,0.012858113217277239,False,group,ucb,f1_survived,wilcoxon,holm
500,ucb,random,10,21.0,0.556640625,0.004469814981350362,0.23636363636363636,-0.004742370920206155,0.013116325610956782,False,group,ucb,f1_survived,wilcoxon,holm
100,ucb,class_greedy,10,21.0,0.556640625,-0.006286296034491634,-0.23636363636363636,-0.018475732024139952,0.004481659762362309,False,group,ucb,f1_survived,wilcoxon,holm
200,ucb,class_greedy,10,22.0,0.625,0.00435392451903679,0.2,-0.009614686010601793,0.019223553260148615,False,group,ucb,f1_survived,wilcoxon,holm
200,ucb,ucb_noclass,10,22.0,0.625,-0.0028075861236742106,-0.2,-0.012130616784217426,0.006587154094832636,False,group,ucb,f1_survived,wilcoxon,holm
200,ucb,ucb_pseudo,10,23.0,0.6953125,0.001110022955061052,0.16363636363636364,-0.0077695346426932795,0.008981350333489362,False,group,ucb,f1_survived,wilcoxon,holm
100,ucb,oort,10,23.0,0.6953125,0.0016973404667132487,0.16363636363636364,-0.0119230710656812,0.013192483222361816,False,group,ucb,f1_survived,wilcoxon,holm
100,ucb,ucb_pseudo,10,25.0,0.845703125,-0.0009541385201461527,0.09090909090909091,-0.013246367580678889,0.009914748263202523,False,group,ucb,f1_survived,wilcoxon,holm
200,ucb,oort,10,26.0,0.921875,0.0002570130353151123,0.05454545454545454,-0.00871449450241378,0.008913045550374248,False,group,ucb,f1_survived,wilcoxon,holm
500,ucb,ucb_pseudo,10,26.0,0.921875,0.006247290267572791,0.05454545454545454,-0.005138978784465798,0.02142790157190282,False,group,ucb,f1_survived,wilcoxon,holm
200,ucb,random,10,26.0,0.921875,-0.0012380483930903518,-0.05454545454545454,-0.010226295849369347,0.008385951830079556,False,group,ucb,f1_survived,wilcoxon,holm
100,ucb,rep_cap,10,27.0,1.0,-0.0012186747199782965,0.01818181818181818,-0.007732650045033261,0.004731302639127122,False,group,ucb,f1_survived,wilcoxon,holm
