N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
500,ucb,fedcs,10,0.0,0.001953125,-0.03253802613464708,-1.0,-0.04132844067748666,-0.02286274610343129,True,group,ucb,macro_f1,wilcoxon,holm
350,ucb,power_of_choice,10,0.0,0.001953125,-0.04140682904114219,-1.0,-0.04985796452286161,-0.03379323837629314,True,group,ucb,macro_f1,wilcoxon,holm
500,ucb,oort,10,0.0,0.001953125,-0.06411573659166687,-1.0,-0.07354545257530865,-0.05452497893136128,True,group,ucb,macro_f1,wilcoxon,holm
350,ucb,oort,10,0.0,0.001953125,-0.036017805988777754,-1.0,-0.047670355702120006,-0.02537984845575889,True,group,ucb,macro_f1,wilcoxon,holm
500,ucb,power_of_choice,10,0.0,0.001953125,-0.061027578427853627,-1.0,-0.06754674675220175,-0.05496960102401008,True,group,ucb,macro_f1,wilcoxon,holm
200,ucb,fedcs,10,1.0,0.00390625,0.03125698862020465,0.9636363636363636,0.019114279938052137,0.04328693403623515,True,group,ucb,macro_f1,wilcoxon,holm
100,ucb,random,10,2.0,0.005859375,0.02076177697360857,0.9272727272727272,0.01185559251476684,0.028441359135462193,True,group,ucb,macro_f1,wilcoxon,holm
500,ucb,rep_cap,10,2.0,0.005859375,-0.016086930299959036,-0.9272727272727272,-0.026790669344310583,-0.007273262312704393,True,group,ucb,macro_f1,wilcoxon,holm
100,ucb,fedcs,10,3.0,0.009765625,0.0219607545799231,0.8909090909090909,0.010409070138083893,0.0328171222641084,True,group,ucb,macro_f1,wilcoxon,holm
200,ucb,random,10,6.0,0.02734375,0.017097365021078413,0.7818181818181819,0.003789637824923997,0.03012305361038568,False,group,ucb,macro_f1,wilcoxon,holm
350,ucb,random,10,9.0,0.064453125,-0.008135254528405262,-0.6727272727272727,-0.013548434459687094,-0.0025274062084172802,False,group,ucb,macro_f1,wilcoxon,holm
50,ucb,random,10,10.0,0.083984375,0.008764274688602441,0.6363636363636364,0.00027368301530769146,0.018289868455387277,False,group,ucb,macro_f1,wilcoxon,holm
30,ucb,oort,10,10.0,0.083984375,-0.010602401702038227,-0.6363636363636364,-0.022510723627522617,-0.0008784318148142348,False,group,ucb,macro_f1,wilcoxon,holm
500,ucb,random,10,10.0,0.083984375,-0.01704308798693452,-0.6363636363636364,-0.03303774701125653,-0.0029219706486573868,False,group,ucb,macro_f1,wilcoxon,holm
50,ucb,fedcs,10,10.0,0.083984375,0.013437256850735746,0.6363636363636364,0.0011887552266485945,0.026110783911237504,False,group,ucb,macro_f1,wilcoxon,holm
50,ucb,power_of_choice,10,14.0,0.193359375,-0.013106129459622261,-0.4909090909090909,-0.027489223868436694,7.973860956504158e-05,False,group,ucb,macro_f1,wilcoxon,holm
350,ucb,fair_mab,10,15.0,0.232421875,0.0057519991877555575,0.45454545454545453,-0.00011113884256927283,0.011982759825772384,False,group,ucb,macro_f1,wilcoxon,holm
50,ucb,fair_mab,10,15.0,0.232421875,0.0062024084257494005,0.45454545454545453,-0.00034771058547185745,0.012604377771362548,False,group,ucb,macro_f1,wilcoxon,holm
