harness,method,N,seed_idx,seed,partition_seed
selection_sweep,ucb,100,0,12976,5309
selection_sweep,ucb,100,1,20895,5310
selection_sweep,ucb,100,2,28814,5311
selection_sweep,ucb,100,3,36733,5312
selection_sweep,ucb,100,4,44652,5313
selection_sweep,ucb,100,5,52571,5314
selection_sweep,ucb,100,6,60490,5315
selection_sweep,ucb,100,7,68409,5316
selection_sweep,ucb,100,8,76328,5317
selection_sweep,ucb,100,9,84247,5318
selection_sweep,class_greedy,100,0,12976,5309
selection_sweep,class_greedy,100,1,20895,5310
selection_sweep,class_greedy,100,2,28814,5311
selection_sweep,class_greedy,100,3,36733,5312
selection_sweep,class_greedy,100,4,44652,5313
selection_sweep,class_greedy,100,5,52571,5314
selection_sweep,class_greedy,100,6,60490,5315
selection_sweep,class_greedy,100,7,68409,5316
selection_sweep,class_greedy,100,8,76328,5317
selection_sweep,class_greedy,100,9,84247,5318
selection_sweep,ucb_pseudo,100,0,12976,5309
selection_sweep,ucb_pseudo,100,1,20895,5310
selection_sweep,ucb_pseudo,100,2,28814,5311
selection_sweep,ucb_pseudo,100,3,36733,5312
selection_sweep,ucb_pseudo,100,4,44652,5313
selection_sweep,ucb_pseudo,100,5,52571,5314
selection_sweep,ucb_pseudo,100,6,60490,5315
selection_sweep,ucb_pseudo,100,7,68409,5316
selection_sweep,ucb_pseudo,100,8,76328,5317
selection_sweep,ucb_pseudo,100,9,84247,5318
selection_sweep,ucb_noclass,100,0,12976,5309
selection_sweep,ucb_noclass,100,1,20895,5310
selection_sweep,ucb_noclass,100,2,28814,5311
selection_sweep,ucb_noclass,100,3,36733,5312
selection_sweep,ucb_noclass,100,4,44652,5313
selection_sweep,ucb_noclass,100,5,52571,5314
selection_sweep,ucb_noclass,100,6,60490,5315
selection_sweep,ucb_noclass,100,7,68409,5316
selection_sweep,ucb_noclass,100,8,76328,5317
selection_sweep,ucb_noclass,100,9,84247,5318
selection_sweep,random,100,0,12976,5309
selection_sweep,random,100,1,20895,5310
selection_sweep,random,100,2,28814,5311
selection_sweep,random,100,3,36733,5312
selection_sweep,random,100,4,44652,5313
selection_sweep,random,100,5,52571,5314
selection_sweep,random,100,6,60490,5315
selection_sweep,random,100,7,68409,5316
selection_sweep,random,100,8,76328,5317
selection_sweep,random,100,9,84247,5318
selection_sweep,fedcs,100,0,12976,5309
selection_sweep,fedcs,100,1,20895,5310
selection_sweep,fedcs,100,2,28814,5311
selection_sweep,fedcs,100,3,36733,5312
selection_sweep,fedcs,100,4,44652,5313
selection_sweep,fedcs,100,5,52571,5314
selection_sweep,fedcs,100,6,60490,5315
selection_sweep,fedcs,100,7,68409,5316
selection_sweep,fedcs,100,8,76328,5317
selection_sweep,fedcs,100,9,84247,5318
selection_sweep,rep_cap,100,0,12976,5309
selection_sweep,rep_cap,100,1,20895,5310
selection_sweep,rep_cap,100,2,28814,5311
selection_sweep,rep_cap,100,3,36733,5312
selection_sweep,rep_cap,100,4,44652,5313
selection_sweep,rep_cap,100,5,52571,5314
selection_sweep,rep_cap,100,6,60490,5315
selection_sweep,rep_cap,100,7,68409,5316
selection_sweep,rep_cap,100,8,76328,5317
selection_sweep,rep_cap,100,9,84247,5318
selection_sweep,fair_mab,100,0,12976,5309
selection_sweep,fair_mab,100,1,20895,5310
selection_sweep,fair_mab,100,2,28814,5311
selection_sweep,fair_mab,100,3,36733,5312
selection_sweep,fair_mab,100,4,44652,5313
selection_sweep,fair_mab,100,5,52571,5314
selection_sweep,fair_mab,100,6,60490,5315
selection_sweep,fair_mab,100,7,68409,5316
selection_sweep,fair_mab,100,8,76328,5317
selection_sweep,fair_mab,100,9,84247,5318
selection_sweep,oort,100,0,12976,5309
selection_sweep,oort,100,1,20895,5310
selection_sweep,oort,100,2,28814,5311
selection_sweep,oort,100,3,36733,5312
selection_sweep,oort,100,4,44652,5313
selection_sweep,oort,100,5,52571,5314
selection_sweep,oort,100,6,60490,5315
selection_sweep,oort,100,7,68409,5316
selection_sweep,oort,100,8,76328,5317
selection_sweep,oort,100,9,84247,5318
selection_sweep,power_of_choice,100,0,12976,5309
selection_sweep,power_of_choice,100,1,20895,5310
selection_sweep,power_of_choice,100,2,28814,5311
selection_sweep,power_of_choice,100,3,36733,5312
selection_sweep,power_of_choice,100,4,44652,5313
selection_sweep,power_of_choice,100,5,52571,5314
selection_sweep,power_of_choice,100,6,60490,5315
selection_sweep,power_of_choice,100,7,68409,5316
selection_sweep,power_of_choice,100,8,76328,5317
selection_sweep,power_of_choice,100,9,84247,5318
selection_sweep,ucb,200,0,16076,5309
selection_sweep,ucb,200,1,23995,5310
selection_sweep,ucb,200,2,31914,5311
selection_sweep,ucb,200,3,39833,5312
selection_sweep,ucb,200,4,47752,5313
selection_sweep,ucb,200,5,55671,5314
selection_sweep,ucb,200,6,63590,5315
selection_sweep,ucb,200,7,71509,5316
selection_sweep,ucb,200,8,79428,5317
selection_sweep,ucb,200,9,87347,5318
selection_sweep,class_greedy,200,0,16076,5309
selection_sweep,class_greedy,200,1,23995,5310
selection_sweep,class_greedy,200,2,31914,5311
selection_sweep,class_greedy,200,3,39833,5312
selection_sweep,class_greedy,200,4,47752,5313
selection_sweep,class_greedy,200,5,55671,5314
selection_sweep,class_greedy,200,6,63590,5315
selection_sweep,class_greedy,200,7,71509,5316
selection_sweep,class_greedy,200,8,79428,5317
selection_sweep,class_greedy,200,9,87347,5318
selection_sweep,ucb_pseudo,200,0,16076,5309
selection_sweep,ucb_pseudo,200,1,23995,5310
selection_sweep,ucb_pseudo,200,2,31914,5311
selection_sweep,ucb_pseudo,200,3,39833,5312
selection_sweep,ucb_pseudo,200,4,47752,5313
selection_sweep,ucb_pseudo,200,5,55671,5314
selection_sweep,ucb_pseudo,200,6,63590,5315
selection_sweep,ucb_pseudo,200,7,71509,5316
selection_sweep,ucb_pseudo,200,8,79428,5317
selection_sweep,ucb_pseudo,200,9,87347,5318
selection_sweep,ucb_noclass,200,0,16076,5309
selection_sweep,ucb_noclass,200,1,23995,5310
selection_sweep,ucb_noclass,200,2,31914,5311
selection_sweep,ucb_noclass,200,3,39833,5312
selection_sweep,ucb_noclass,200,4,47752,5313
selection_sweep,ucb_noclass,200,5,55671,5314
selection_sweep,ucb_noclass,200,6,63590,5315
selection_sweep,ucb_noclass,200,7,71509,5316
selection_sweep,ucb_noclass,200,8,79428,5317
selection_sweep,ucb_noclass,200,9,87347,5318
selection_sweep,random,200,0,16076,5309
selection_sweep,random,200,1,23995,5310
selection_sweep,random,200,2,31914,5311
selection_sweep,random,200,3,39833,5312
selection_sweep,random,200,4,47752,5313
selection_sweep,random,200,5,55671,5314
selection_sweep,random,200,6,63590,5315
selection_sweep,random,200,7,71509,5316
selection_sweep,random,200,8,79428,5317
selection_sweep,random,200,9,87347,5318
selection_sweep,fedcs,200,0,16076,5309
selection_sweep,fedcs,200,1,23995,5310
selection_sweep,fedcs,200,2,31914,5311
selection_sweep,fedcs,200,3,39833,5312
selection_sweep,fedcs,200,4,47752,5313
selection_sweep,fedcs,200,5,55671,5314
selection_sweep,fedcs,200,6,63590,5315
selection_sweep,fedcs,200,7,71509,5316
selection_sweep,fedcs,200,8,79428,5317
selection_sweep,fedcs,200,9,87347,5318
selection_sweep,rep_cap,200,0,16076,5309
selection_sweep,rep_cap,200,1,23995,5310
selection_sweep,rep_cap,200,2,31914,5311
selection_sweep,rep_cap,200,3,39833,5312
selection_sweep,rep_cap,200,4,47752,5313
selection_sweep,rep_cap,200,5,55671,5314
selection_sweep,rep_cap,200,6,63590,5315
selection_sweep,rep_cap,200,7,71509,5316
selection_sweep,rep_cap,200,8,79428,5317
selection_sweep,rep_cap,200,9,87347,5318
selection_sweep,fair_mab,200,0,16076,5309
selection_sweep,fair_mab,200,1,23995,5310
selection_sweep,fair_mab,200,2,31914,5311
selection_sweep,fair_mab,200,3,39833,5312
selection_sweep,fair_mab,200,4,47752,5313
selection_sweep,fair_mab,200,5,55671,5314
selection_sweep,fair_mab,200,6,63590,5315
selection_sweep,fair_mab,200,7,71509,5316
selection_sweep,fair_mab,200,8,79428,5317
selection_sweep,fair_mab,200,9,87347,5318
selection_sweep,oort,200,0,16076,5309
selection_sweep,oort,200,1,23995,5310
selection_sweep,oort,200,2,31914,5311
selection_sweep,oort,200,3,39833,5312
selection_sweep,oort,200,4,47752,5313
selection_sweep,oort,200,5,55671,5314
selection_sweep,oort,200,6,63590,5315
selection_sweep,oort,200,7,71509,5316
selection_sweep,oort,200,8,79428,5317
selection_sweep,oort,200,9,87347,5318
selection_sweep,power_of_choice,200,0,16076,5309
selection_sweep,power_of_choice,200,1,23995,5310
selection_sweep,power_of_choice,200,2,31914,5311
selection_sweep,power_of_choice,200,3,39833,5312
selection_sweep,power_of_choice,200,4,47752,5313
selection_sweep,power_of_choice,200,5,55671,5314
selection_sweep,power_of_choice,200,6,63590,5315
selection_sweep,power_of_choice,200,7,71509,5316
selection_sweep,power_of_choice,200,8,79428,5317
selection_sweep,power_of_choice,200,9,87347,5318
selection_sweep,ucb,500,0,25376,5309
selection_sweep,ucb,500,1,33295,5310
selection_sweep,ucb,500,2,41214,5311
selection_sweep,ucb,500,3,49133,5312
selection_sweep,ucb,500,4,57052,5313
selection_sweep,ucb,500,5,64971,5314
selection_sweep,ucb,500,6,72890,5315
selection_sweep,ucb,500,7,80809,5316
selection_sweep,ucb,500,8,88728,5317
selection_sweep,ucb,500,9,96647,5318
selection_sweep,class_greedy,500,0,25376,5309
selection_sweep,class_greedy,500,1,33295,5310
selection_sweep,class_greedy,500,2,41214,5311
selection_sweep,class_greedy,500,3,49133,5312
selection_sweep,class_greedy,500,4,57052,5313
selection_sweep,class_greedy,500,5,64971,5314
selection_sweep,class_greedy,500,6,72890,5315
selection_sweep,class_greedy,500,7,80809,5316
selection_sweep,class_greedy,500,8,88728,5317
selection_sweep,class_greedy,500,9,96647,5318
selection_sweep,ucb_pseudo,500,0,25376,5309
selection_sweep,ucb_pseudo,500,1,33295,5310
selection_sweep,ucb_pseudo,500,2,41214,5311
selection_sweep,ucb_pseudo,500,3,49133,5312
selection_sweep,ucb_pseudo,500,4,57052,5313
selection_sweep,ucb_pseudo,500,5,64971,5314
selection_sweep,ucb_pseudo,500,6,72890,5315
selection_sweep,ucb_pseudo,500,7,80809,5316
selection_sweep,ucb_pseudo,500,8,88728,5317
selection_sweep,ucb_pseudo,500,9,96647,5318
selection_sweep,ucb_noclass,500,0,25376,5309
selection_sweep,ucb_noclass,500,1,33295,5310
selection_sweep,ucb_noclass,500,2,41214,5311
selection_sweep,ucb_noclass,500,3,49133,5312
selection_sweep,ucb_noclass,500,4,57052,5313
selection_sweep,ucb_noclass,500,5,64971,5314
selection_sweep,ucb_noclass,500,6,72890,5315
selection_sweep,ucb_noclass,500,7,80809,5316
selection_sweep,ucb_noclass,500,8,88728,5317
selection_sweep,ucb_noclass,500,9,96647,5318
selection_sweep,random,500,0,25376,5309
selection_sweep,random,500,1,33295,5310
selection_sweep,random,500,2,41214,5311
selection_sweep,random,500,3,49133,5312
selection_sweep,random,500,4,57052,5313
selection_sweep,random,500,5,64971,5314
selection_sweep,random,500,6,72890,5315
selection_sweep,random,500,7,80809,5316
selection_sweep,random,500,8,88728,5317
selection_sweep,random,500,9,96647,5318
selection_sweep,fedcs,500,0,25376,5309
selection_sweep,fedcs,500,1,33295,5310
selection_sweep,fedcs,500,2,41214,5311
selection_sweep,fedcs,500,3,49133,5312
selection_sweep,fedcs,500,4,57052,5313
selection_sweep,fedcs,500,5,64971,5314
selection_sweep,fedcs,500,6,72890,5315
selection_sweep,fedcs,500,7,80809,5316
selection_sweep,fedcs,500,8,88728,5317
selection_sweep,fedcs,500,9,96647,5318
selection_sweep,rep_cap,500,0,25376,5309
selection_sweep,rep_cap,500,1,33295,5310
selection_sweep,rep_cap,500,2,41214,5311
selection_sweep,rep_cap,500,3,49133,5312
selection_sweep,rep_cap,500,4,57052,5313
selection_sweep,rep_cap,500,5,64971,5314
selection_sweep,rep_cap,500,6,72890,5315
selection_sweep,rep_cap,500,7,80809,5316
selection_sweep,rep_cap,500,8,88728,5317
selection_sweep,rep_cap,500,9,96647,5318
selection_sweep,fair_mab,500,0,25376,5309
selection_sweep,fair_mab,500,1,33295,5310
selection_sweep,fair_mab,500,2,41214,5311
selection_sweep,fair_mab,500,3,49133,5312
selection_sweep,fair_mab,500,4,57052,5313
selection_sweep,fair_mab,500,5,64971,5314
selection_sweep,fair_mab,500,6,72890,5315
selection_sweep,fair_mab,500,7,80809,5316
selection_sweep,fair_mab,500,8,88728,5317
selection_sweep,fair_mab,500,9,96647,5318
selection_sweep,oort,500,0,25376,5309
selection_sweep,oort,500,1,33295,5310
selection_sweep,oort,500,2,41214,5311
selection_sweep,oort,500,3,49133,5312
selection_sweep,oort,500,4,57052,5313
selection_sweep,oort,500,5,64971,5314
selection_sweep,oort,500,6,72890,5315
selection_sweep,oort,500,7,80809,5316
selection_sweep,oort,500,8,88728,5317
selection_sweep,oort,500,9,96647,5318
selection_sweep,power_of_choice,500,0,25376,5309
selection_sweep,power_of_choice,500,1,33295,5310
selection_sweep,power_of_choice,500,2,41214,5311
selection_sweep,power_of_choice,500,3,49133,5312
selection_sweep,power_of_choice,500,4,57052,5313
selection_sweep,power_of_choice,500,5,64971,5314
selection_sweep,power_of_choice,500,6,72890,5315
selection_sweep,power_of_choice,500,7,80809,5316
selection_sweep,power_of_choice,500,8,88728,5317
selection_sweep,power_of_choice,500,9,96647,5318
