N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
500,ucb,fedcs,10,0.0,0.001953125,0.04774659815151995,1.0,0.04172514293542924,0.05396904385957189,True,group,ucb,macro_f1,wilcoxon,holm
350,ucb,fedcs,10,0.0,0.001953125,0.049523685638365705,1.0,0.042253878029216076,0.05668167435140221,True,group,ucb,macro_f1,wilcoxon,holm
200,ucb,fedcs,10,0.0,0.001953125,0.03163819563221847,1.0,0.02581075596572426,0.03701044262341955,True,group,ucb,macro_f1,wilcoxon,holm
100,ucb,fedcs,10,0.0,0.001953125,0.034683101020891616,1.0,0.024879429948998374,0.045579795554977265,True,group,ucb,macro_f1,wilcoxon,holm
50,ucb,random,10,0.0,0.001953125,0.014784134247262909,1.0,0.008607825887691382,0.021661904857320672,True,group,ucb,macro_f1,wilcoxon,holm
350,ucb,power_of_choice,10,0.0,0.001953125,0.03222360769755431,1.0,0.024580334130647377,0.0402550073305271,True,group,ucb,macro_f1,wilcoxon,holm
500,ucb,power_of_choice,10,0.0,0.001953125,0.030215606703197378,1.0,0.023893763327039713,0.036866124601038025,True,group,ucb,macro_f1,wilcoxon,holm
500,ucb,oort,10,0.0,0.001953125,0.040512716638597374,1.0,0.03388858714634925,0.04744880864763452,True,group,ucb,macro_f1,wilcoxon,holm
500,ucb,random,10,0.0,0.001953125,0.032427629866398695,1.0,0.02388573778403816,0.041760200773857316,True,group,ucb,macro_f1,wilcoxon,holm
100,ucb,random,10,0.0,0.001953125,0.041104720488327966,1.0,0.02921182696222388,0.05294479596428398,True,group,ucb,macro_f1,wilcoxon,holm
350,ucb,random,10,0.0,0.001953125,0.026837857070268006,1.0,0.019378493320978626,0.035559714974603966,True,group,ucb,macro_f1,wilcoxon,holm
500,ucb,rep_cap,10,0.0,0.001953125,0.035374756263439236,1.0,0.029030363830052797,0.04153181453638268,True,group,ucb,macro_f1,wilcoxon,holm
350,ucb,rep_cap,10,0.0,0.001953125,0.02995854128603806,1.0,0.019833029149157935,0.0393889407666032,True,group,ucb,macro_f1,wilcoxon,holm
200,ucb,power_of_choice,10,1.0,0.00390625,0.01641670341025795,0.9636363636363636,0.008694981717662243,0.024709268050199955,True,group,ucb,macro_f1,wilcoxon,holm
500,ucb,fair_mab,10,1.0,0.00390625,0.021576951687536167,0.9636363636363636,0.012794476304221758,0.02905499942619148,True,group,ucb,macro_f1,wilcoxon,holm
350,ucb,oort,10,1.0,0.00390625,0.024242167625247075,0.9636363636363636,0.015042223494432893,0.03324546819988553,True,group,ucb,macro_f1,wilcoxon,holm
100,ucb,power_of_choice,10,3.0,0.009765625,0.017088545299854076,0.8909090909090909,0.00857186990531356,0.025764610820658156,True,group,ucb,macro_f1,wilcoxon,holm
200,ucb,oort,10,3.0,0.009765625,0.01352276383160696,0.8909090909090909,0.005959810283879097,0.0218138137188651,True,group,ucb,macro_f1,wilcoxon,holm
200,ucb,random,10,3.0,0.009765625,0.023214866270349327,0.8909090909090909,0.012063437559735492,0.03444005239305521,True,group,ucb,macro_f1,wilcoxon,holm
50,ucb,fedcs,10,5.0,0.01953125,0.01828222451223512,0.8181818181818182,0.0074283009494534365,0.0291277210882001,False,group,ucb,macro_f1,wilcoxon,holm
200,ucb,rep_cap,10,8.0,0.048828125,0.008406172669971573,0.7090909090909091,0.001744680880910561,0.015645363421170556,False,group,ucb,macro_f1,wilcoxon,holm
100,ucb,rep_cap,10,10.0,0.083984375,0.006740291946018484,0.6363636363636364,-0.001361220999719902,0.015575509193997217,False,group,ucb,macro_f1,wilcoxon,holm
30,ucb,power_of_choice,10,10.0,0.083984375,-0.00944234981830463,-0.6363636363636364,-0.01958432056548259,-0.0011131435311319679,False,group,ucb,macro_f1,wilcoxon,holm
30,ucb,oort,10,11.0,0.10546875,-0.008487310531582415,-0.6,-0.015747289796121475,-0.0003546097396957135,False,group,ucb,macro_f1,wilcoxon,holm
30,ucb,fedcs,10,12.0,0.130859375,0.005212538464524014,0.5636363636363636,-6.277169130046723e-05,0.011704600939158866,False,group,ucb,macro_f1,wilcoxon,holm
100,ucb,oort,10,12.0,0.130859375,0.01022369851508157,0.5636363636363636,-0.0006599425305876998,0.021180904657550303,False,group,ucb,macro_f1,wilcoxon,holm
50,ucb,oort,10,14.0,0.193359375,0.004387072988256302,0.4909090909090909,-0.0021633788895094623,0.010617926130313014,False,group,ucb,macro_f1,wilcoxon,holm
350,ucb,fair_mab,10,14.0,0.193359375,0.008878074567289096,0.4909090909090909,-0.0001528983370375185,0.01818722155512371,False,group,ucb,macro_f1,wilcoxon,holm
100,ucb,fair_mab,10,16.0,0.275390625,0.0060539420906384365,0.41818181818181815,-0.002472413354586565,0.014315181479258086,False,group,ucb,macro_f1,wilcoxon,holm
30,ucb,rep_cap,10,18.0,0.375,-0.00379437401313345,-0.34545454545454546,-0.011333321214033146,0.004687193680955992,False,group,ucb,macro_f1,wilcoxon,holm
30,ucb,fair_mab,10,18.0,0.375,-0.005346702606920678,-0.34545454545454546,-0.014196093820459086,0.0029783279998044066,False,group,ucb,macro_f1,wilcoxon,holm
50,ucb,power_of_choice,10,21.0,0.556640625,-0.00327207475049508,-0.23636363636363636,-0.010071740290947795,0.0030630903580426026,False,group,ucb,macro_f1,wilcoxon,holm
50,ucb,rep_cap,10,22.0,0.625,0.002478086021041337,0.2,-0.00490680505710876,0.01024657510036312,False,group,ucb,macro_f1,wilcoxon,holm
200,ucb,fair_mab,10,24.0,0.76953125,-0.0004021584188960592,-0.12727272727272726,-0.008184524343594573,0.007448435148680005,False,group,ucb,macro_f1,wilcoxon,holm
30,ucb,random,10,25.0,0.845703125,-0.0010033971272578545,-0.09090909090909091,-0.010804616020727732,0.00985665836377812,False,group,ucb,macro_f1,wilcoxon,holm
50,ucb,fair_mab,10,27.0,1.0,2.644165672466281e-06,-0.01818181818181818,-0.006767691149449098,0.006966229813216578,False,group,ucb,macro_f1,wilcoxon,holm
