harness,method,N,seed_idx,seed,partition_seed
selection_sweep,ucb,30,0,10806,5309
selection_sweep,ucb,30,1,18725,5310
selection_sweep,ucb,30,2,26644,5311
selection_sweep,ucb,30,3,34563,5312
selection_sweep,ucb,30,4,42482,5313
selection_sweep,ucb,30,5,50401,5314
selection_sweep,ucb,30,6,58320,5315
selection_sweep,ucb,30,7,66239,5316
selection_sweep,ucb,30,8,74158,5317
selection_sweep,ucb,30,9,82077,5318
selection_sweep,random,30,0,10806,5309
selection_sweep,random,30,1,18725,5310
selection_sweep,random,30,2,26644,5311
selection_sweep,random,30,3,34563,5312
selection_sweep,random,30,4,42482,5313
selection_sweep,random,30,5,50401,5314
selection_sweep,random,30,6,58320,5315
selection_sweep,random,30,7,66239,5316
selection_sweep,random,30,8,74158,5317
selection_sweep,random,30,9,82077,5318
selection_sweep,fedcs,30,0,10806,5309
selection_sweep,fedcs,30,1,18725,5310
selection_sweep,fedcs,30,2,26644,5311
selection_sweep,fedcs,30,3,34563,5312
selection_sweep,fedcs,30,4,42482,5313
selection_sweep,fedcs,30,5,50401,5314
selection_sweep,fedcs,30,6,58320,5315
selection_sweep,fedcs,30,7,66239,5316
selection_sweep,fedcs,30,8,74158,5317
selection_sweep,fedcs,30,9,82077,5318
selection_sweep,rep_cap,30,0,10806,5309
selection_sweep,rep_cap,30,1,18725,5310
selection_sweep,rep_cap,30,2,26644,5311
selection_sweep,rep_cap,30,3,34563,5312
selection_sweep,rep_cap,30,4,42482,5313
selection_sweep,rep_cap,30,5,50401,5314
selection_sweep,rep_cap,30,6,58320,5315
selection_sweep,rep_cap,30,7,66239,5316
selection_sweep,rep_cap,30,8,74158,5317
selection_sweep,rep_cap,30,9,82077,5318
selection_sweep,fair_mab,30,0,10806,5309
selection_sweep,fair_mab,30,1,18725,5310
selection_sweep,fair_mab,30,2,26644,5311
selection_sweep,fair_mab,30,3,34563,5312
selection_sweep,fair_mab,30,4,42482,5313
selection_sweep,fair_mab,30,5,50401,5314
selection_sweep,fair_mab,30,6,58320,5315
selection_sweep,fair_mab,30,7,66239,5316
selection_sweep,fair_mab,30,8,74158,5317
selection_sweep,fair_mab,30,9,82077,5318
selection_sweep,oort,30,0,10806,5309
selection_sweep,oort,30,1,18725,5310
selection_sweep,oort,30,2,26644,5311
selection_sweep,oort,30,3,34563,5312
selection_sweep,oort,30,4,42482,5313
selection_sweep,oort,30,5,50401,5314
selection_sweep,oort,30,6,58320,5315
selection_sweep,oort,30,7,66239,5316
selection_sweep,oort,30,8,74158,5317
selection_sweep,oort,30,9,82077,5318
selection_sweep,power_of_choice,30,0,10806,5309
selection_sweep,power_of_choice,30,1,18725,5310
selection_sweep,power_of_choice,30,2,26644,5311
selection_sweep,power_of_choice,30,3,34563,5312
selection_sweep,power_of_choice,30,4,42482,5313
selection_sweep,power_of_choice,30,5,50401,5314
selection_sweep,power_of_choice,30,6,58320,5315
selection_sweep,power_of_choice,30,7,66239,5316
selection_sweep,power_of_choice,30,8,74158,5317
selection_sweep,power_of_choice,30,9,82077,5318
selection_sweep,ucb,50,0,11426,5309
selection_sweep,ucb,50,1,19345,5310
selection_sweep,ucb,50,2,27264,5311
selection_sweep,ucb,50,3,35183,5312
selection_sweep,ucb,50,4,43102,5313
selection_sweep,ucb,50,5,51021,5314
selection_sweep,ucb,50,6,58940,5315
selection_sweep,ucb,50,7,66859,5316
selection_sweep,ucb,50,8,74778,5317
selection_sweep,ucb,50,9,82697,5318
selection_sweep,random,50,0,11426,5309
selection_sweep,random,50,1,19345,5310
selection_sweep,random,50,2,27264,5311
selection_sweep,random,50,3,35183,5312
selection_sweep,random,50,4,43102,5313
selection_sweep,random,50,5,51021,5314
selection_sweep,random,50,6,58940,5315
selection_sweep,random,50,7,66859,5316
selection_sweep,random,50,8,74778,5317
selection_sweep,random,50,9,82697,5318
selection_sweep,fedcs,50,0,11426,5309
selection_sweep,fedcs,50,1,19345,5310
selection_sweep,fedcs,50,2,27264,5311
selection_sweep,fedcs,50,3,35183,5312
selection_sweep,fedcs,50,4,43102,5313
selection_sweep,fedcs,50,5,51021,5314
selection_sweep,fedcs,50,6,58940,5315
selection_sweep,fedcs,50,7,66859,5316
selection_sweep,fedcs,50,8,74778,5317
selection_sweep,fedcs,50,9,82697,5318
selection_sweep,rep_cap,50,0,11426,5309
selection_sweep,rep_cap,50,1,19345,5310
selection_sweep,rep_cap,50,2,27264,5311
selection_sweep,rep_cap,50,3,35183,5312
selection_sweep,rep_cap,50,4,43102,5313
selection_sweep,rep_cap,50,5,51021,5314
selection_sweep,rep_cap,50,6,58940,5315
selection_sweep,rep_cap,50,7,66859,5316
selection_sweep,rep_cap,50,8,74778,5317
selection_sweep,rep_cap,50,9,82697,5318
selection_sweep,fair_mab,50,0,11426,5309
selection_sweep,fair_mab,50,1,19345,5310
selection_sweep,fair_mab,50,2,27264,5311
selection_sweep,fair_mab,50,3,35183,5312
selection_sweep,fair_mab,50,4,43102,5313
selection_sweep,fair_mab,50,5,51021,5314
selection_sweep,fair_mab,50,6,58940,5315
selection_sweep,fair_mab,50,7,66859,5316
selection_sweep,fair_mab,50,8,74778,5317
selection_sweep,fair_mab,50,9,82697,5318
selection_sweep,oort,50,0,11426,5309
selection_sweep,oort,50,1,19345,5310
selection_sweep,oort,50,2,27264,5311
selection_sweep,oort,50,3,35183,5312
selection_sweep,oort,50,4,43102,5313
selection_sweep,oort,50,5,51021,5314
selection_sweep,oort,50,6,58940,5315
selection_sweep,oort,50,7,66859,5316
selection_sweep,oort,50,8,74778,5317
selection_sweep,oort,50,9,82697,5318
selection_sweep,power_of_choice,50,0,11426,5309
selection_sweep,power_of_choice,50,1,19345,5310
selection_sweep,power_of_choice,50,2,27264,5311
