method,N,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,f1_survived_mean,f1_survived_std,f1_collapsed_mean,f1_collapsed_std,f1_obstructed_mean,f1_obstructed_std,f1_missing_mean,f1_missing_std,n_seeds
fedcs,30,0.6696,0.0227,0.4415,0.0176,0.7969,0.0175,0.2749,0.0287,0.3997,0.0589,0.2944,0.0135,10
fedcs,50,0.6917,0.0213,0.4382,0.0172,0.8154,0.0149,0.2707,0.0184,0.3859,0.0449,0.2808,0.0076,10
fedcs,100,0.6657,0.0158,0.4146,0.0154,0.7973,0.0113,0.2555,0.0137,0.3385,0.0415,0.2673,0.0147,10
fedcs,200,0.6591,0.0146,0.4202,0.0092,0.791,0.0116,0.247,0.0174,0.3777,0.0289,0.2652,0.0097,10
flat_fl,30,0.7573,0.0183,0.515,0.0184,0.8574,0.0121,0.3099,0.0333,0.6053,0.0652,0.2876,0.0242,10
flat_fl,50,0.7461,0.0244,0.4526,0.0265,0.8537,0.0161,0.3024,0.0073,0.3807,0.0897,0.2735,0.0135,10
flat_fl,100,0.7353,0.0157,0.4355,0.0159,0.8469,0.0103,0.2792,0.0167,0.3485,0.0553,0.2675,0.0313,10
flat_fl,200,0.7442,0.0061,0.3939,0.0216,0.8556,0.0036,0.255,0.0273,0.2221,0.0697,0.2429,0.0197,10
oort,30,0.6923,0.0307,0.4164,0.0231,0.8159,0.0231,0.3041,0.0451,0.2613,0.0378,0.2845,0.0094,10
oort,50,0.7232,0.0163,0.4164,0.0146,0.8404,0.0118,0.3014,0.0127,0.2568,0.0545,0.2672,0.0136,10
oort,100,0.7142,0.013,0.4333,0.022,0.8332,0.0091,0.3037,0.0206,0.3345,0.0705,0.262,0.0127,10
oort,200,0.7159,0.0105,0.4313,0.0157,0.8351,0.0073,0.2849,0.0181,0.3488,0.0532,0.2562,0.0147,10
proposed_hfl,30,0.6894,0.1238,0.3673,0.0394,0.804,0.1019,0.2619,0.0831,0.2248,0.0609,0.1784,0.1121,10
proposed_hfl,50,0.7243,0.0895,0.3569,0.045,0.8364,0.0623,0.2134,0.0957,0.1949,0.0432,0.183,0.1164,10
proposed_hfl,100,0.7256,0.11,0.3634,0.0348,0.836,0.0782,0.2271,0.0629,0.2237,0.0573,0.1669,0.0959,10
proposed_hfl,200,0.7094,0.1154,0.3816,0.0297,0.8209,0.0878,0.2599,0.0467,0.2762,0.0546,0.1695,0.0985,10
