method,round,accuracy,macro_f1,fairness,comm_cost
proposed,1,0.10200927357032458,0.08722856330314857,0.6428571428061225,0.18
proposed,2,0.1437403400309119,0.14146878655805226,0.6428571428443878,0.34
proposed,3,0.35780525502318394,0.2426196934743745,0.642857142851474,0.5200000000000001
proposed,4,0.45131375579598143,0.25211753001192677,0.6428571428539541,0.7000000000000003
proposed,5,0.5618238021638331,0.31526135753759027,0.6428571428551021,0.8800000000000004
proposed,6,0.615919629057187,0.325309406233896,0.6428571428557256,1.0600000000000005
proposed,7,0.6437403400309119,0.3495976030939836,0.6428571428561016,1.2400000000000007
proposed,8,0.6731066460587326,0.3589351872832144,0.6428571428563457,1.4000000000000008
proposed,9,0.678516228748068,0.3617109447952567,0.642857142856513,1.580000000000001
proposed,10,0.6715610510046368,0.3678271698453338,0.6422085292681674,1.740000000000001
proposed,11,0.6761978361669243,0.36914321719546156,0.6406781969218026,1.9000000000000012
proposed,12,0.7024729520865534,0.3782843150005121,0.6386861313864913,2.0600000000000014
proposed,13,0.6646058732612056,0.36265134682582606,0.6364769215428987,2.2200000000000015
proposed,14,0.7210200927357032,0.376528727075546,0.6372856272305052,2.3800000000000017
proposed,15,0.7187017001545595,0.36278868064409625,0.6373420145535666,2.520000000000002
proposed,16,0.6924265842349304,0.36172299242074146,0.6345546864276675,2.660000000000002
proposed,17,0.6808346213292118,0.3683774241536132,0.6317042606514311,2.780000000000002
proposed,18,0.7024729520865534,0.34855538768051747,0.6287169042768028,2.880000000000002
proposed,19,0.6924265842349304,0.3193549512348963,0.625108225108056,2.980000000000002
proposed,20,0.7256568778979907,0.36750074378308273,0.6239128261519985,3.1000000000000023
proposed,21,0.7341576506955177,0.36216814860087193,0.622837451357161,3.2000000000000024
proposed,22,0.7333848531684699,0.34041865333265336,0.6210720887244475,3.3000000000000025
proposed,23,0.749613601236476,0.3711812080829288,0.6185845047399848,3.4200000000000026
proposed,24,0.7542503863987635,0.35928404819663584,0.6158290884207756,3.5400000000000027
proposed,25,0.731839258114374,0.3716854147792449,0.6141592609503997,3.680000000000003
proposed,26,0.7395672333848532,0.34959678641093805,0.6123657663519994,3.820000000000003
proposed,27,0.7442040185471407,0.3898834640563223,0.6117841242919816,3.960000000000003
proposed,28,0.7449768160741885,0.38702933202044354,0.6109698921085959,4.1000000000000005
proposed,29,0.7202472952086554,0.3831300129048665,0.6099733445936225,4.219999999999998
proposed,30,0.7333848531684699,0.3829360826055837,0.6088353016750743,4.359999999999995
random,1,0.09273570324574962,0.04252264364434279,0.9999999999489796,0.18
random,2,0.2511591962905719,0.15100977720201378,0.9999999999872449,0.34
random,3,0.2874806800618238,0.17018075825456266,0.9999999999943311,0.5200000000000001
random,4,0.38176197836166925,0.2164882092790519,0.9999999999968112,0.7000000000000003
random,5,0.5015455950540958,0.2368999293450016,0.9999999999979592,0.8800000000000004
random,6,0.5772797527047914,0.25632983956778077,0.9999999999985828,1.0600000000000005
random,7,0.5571870170015456,0.28041583814372834,0.9999999999989587,1.2400000000000007
