dropout_rate,snr_degradation_db,black_chip_rate,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,metric,test,correction
0.0,0.0,0.0,alzenad2017,oort,16,0.0,3.0517578125e-05,0.027865737826320278,1.0,0.021030548503595887,0.034725714268058545,True,accuracy,wilcoxon,holm
0.1,0.0,0.0,flat_fl,proposed_hfl,16,0.0,3.0517578125e-05,0.04752765966065151,1.0,0.04091489223890809,0.054422441503402134,True,accuracy,wilcoxon,holm
0.2,0.0,0.0,flat_fl,proposed_hfl,16,0.0,3.0517578125e-05,0.05262208938748101,1.0,0.04625979626811434,0.05887214935321145,True,accuracy,wilcoxon,holm
0.0,6.0,0.0,flat_fl,proposed_hfl,16,0.0,3.0517578125e-05,0.05021670987976967,1.0,0.042958515793692094,0.05767631459478032,True,accuracy,wilcoxon,holm
0.0,0.0,0.1,flat_fl,proposed_hfl,16,0.0,3.0517578125e-05,0.03747619969320703,1.0,0.03244868710874276,0.042547359038416666,True,accuracy,wilcoxon,holm
0.3,0.0,0.0,flat_fl,proposed_hfl,16,0.0,3.0517578125e-05,0.04836269033052956,1.0,0.043062168822816556,0.05415397737200733,True,accuracy,wilcoxon,holm
0.0,0.0,0.0,hfl_no_selection,oort,16,0.0,3.0517578125e-05,0.02464196399059501,1.0,0.017350065743890204,0.0322225788705967,True,accuracy,wilcoxon,holm
0.4,0.0,0.0,flat_fl,proposed_hfl,16,0.0,3.0517578125e-05,0.05046881538643027,1.0,0.04532062280991253,0.05586678130432682,True,accuracy,wilcoxon,holm
0.0,10.0,0.0,flat_fl,proposed_hfl,16,0.0,3.0517578125e-05,0.06309327974788918,1.0,0.051122555924922285,0.07641151499452489,True,accuracy,wilcoxon,holm
0.0,0.0,0.2,flat_fl,proposed_hfl,16,0.0,3.0517578125e-05,0.036977152673070876,1.0,0.03165703052243475,0.04252979764308516,True,accuracy,wilcoxon,holm
0.0,3.0,0.0,flat_fl,proposed_hfl,16,0.0,3.0517578125e-05,0.04939239175367079,1.0,0.044021836761927294,0.0552371002299982,True,accuracy,wilcoxon,holm
0.0,0.0,0.05,flat_fl,proposed_hfl,16,0.0,3.0517578125e-05,0.041015721751428647,1.0,0.036296823610167936,0.04613698778994667,True,accuracy,wilcoxon,holm
0.0,0.0,0.1,flat_fl,oort,16,0.0,3.0517578125e-05,0.05777375745179171,1.0,0.051239376506644424,0.06438355234536942,True,accuracy,wilcoxon,holm
0.0,0.0,0.05,flat_fl,oort,16,0.0,3.0517578125e-05,0.05878061241520318,1.0,0.0520214966355315,0.06614665972484392,True,accuracy,wilcoxon,holm
0.0,0.0,0.0,flat_fl,oort,16,0.0,3.0517578125e-05,0.07329641543211923,1.0,0.06574554512409847,0.080365792844003,True,accuracy,wilcoxon,holm
0.4,0.0,0.0,flat_fl,mozaffari2016,16,0.0,3.0517578125e-05,0.044970880271871135,1.0,0.040928010935606586,0.04936739876233875,True,accuracy,wilcoxon,holm
0.0,0.0,0.1,flat_fl,mozaffari2016,16,0.0,3.0517578125e-05,0.03540580146967835,1.0,0.0296511583402283,0.04132694987877534,True,accuracy,wilcoxon,holm
0.0,0.0,0.2,flat_fl,mozaffari2016,16,0.0,3.0517578125e-05,0.03465938963802283,1.0,0.028704583335809587,0.0411403750996691,True,accuracy,wilcoxon,holm
0.0,3.0,0.0,flat_fl,mozaffari2016,16,0.0,3.0517578125e-05,0.05293664290226775,1.0,0.04536471456304205,0.06056516927584456,True,accuracy,wilcoxon,holm
0.0,6.0,0.0,flat_fl,mozaffari2016,16,0.0,3.0517578125e-05,0.05374727333249139,1.0,0.04743067497943227,0.06006226572101573,True,accuracy,wilcoxon,holm
0.0,10.0,0.0,flat_fl,mozaffari2016,16,0.0,3.0517578125e-05,0.07197834805538608,1.0,0.06091051109181363,0.08269711316153339,True,accuracy,wilcoxon,holm
0.0,0.0,0.05,flat_fl,mozaffari2016,16,0.0,3.0517578125e-05,0.03822572060364925,1.0,0.031716915119892795,0.04495785394270924,True,accuracy,wilcoxon,holm
0.4,0.0,0.0,flat_fl,hfl_no_selection,16,0.0,3.0517578125e-05,0.047816878708703735,1.0,0.04088092384917162,0.05513794127198781,True,accuracy,wilcoxon,holm
0.0,0.0,0.0,flat_fl,mozaffari2016,16,0.0,3.0517578125e-05,0.05153552100103287,1.0,0.046219994566154075,0.057082939408209375,True,accuracy,wilcoxon,holm
0.0,6.0,0.0,flat_fl,hfl_no_selection,16,0.0,3.0517578125e-05,0.04838217689151695,1.0,0.04386420109351915,0.05290729550919466,True,accuracy,wilcoxon,holm
0.0,10.0,0.0,flat_fl,hfl_no_selection,16,0.0,3.0517578125e-05,0.05470943553702271,1.0,0.04711534060905339,0.06233694655980377,True,accuracy,wilcoxon,holm
0.1,0.0,0.0,flat_fl,hfl_no_selection,16,0.0,3.0517578125e-05,0.05539609028458707,1.0,0.049608950769790945,0.0612437173055141,True,accuracy,wilcoxon,holm
0.2,0.0,0.0,flat_fl,hfl_no_selection,16,0.0,3.0517578125e-05,0.05065581930406022,1.0,0.04347148916517782,0.05870797502782063,True,accuracy,wilcoxon,holm
