distribution,method,coverage_pct,movement_battery_frac,l_imb,convergence_auc,wall_time_s,final_fitness
clustered,alzenad2017,56.1467,0.2797,52.23,0.5126,0.0727,0.5126
clustered,centroid,57.8267,0.2867,22.2767,0.5314,0.0882,0.5314
clustered,ga,57.24,0.2623,24.2833,0.4948,4.1776,0.5334
clustered,mozaffari2016,16.88,0.2803,271.8933,0.1279,0.0272,0.1279
clustered,pso,59.5867,0.28,1.6767,0.5511,4.3618,0.566
clustered,random,30.2267,0.2923,350.37,0.2601,0.0164,0.2626
clustered,static,11.68,0.06,122.0533,0.1009,0.0008,0.1009
epicenter_biased,alzenad2017,47.8533,0.1937,205.03,0.4183,0.084,0.4183
epicenter_biased,centroid,57.9333,0.1814,40.8167,0.5451,0.0517,0.5451
epicenter_biased,ga,50.9333,0.1837,242.1,0.4251,4.0742,0.5031
epicenter_biased,mozaffari2016,34.9467,0.1971,324.83,0.2935,0.0262,0.2935
epicenter_biased,pso,60.0,0.1569,0.0,0.583,3.7802,0.5837
epicenter_biased,random,22.6133,0.2572,450.1067,0.1951,0.0186,0.1984
epicenter_biased,static,32.5733,0.06,122.47,0.2958,0.0014,0.2958
real,alzenad2017,57.8267,0.3255,9.13,0.4929,0.1502,0.4929
real,centroid,52.8933,0.2927,50.97,0.4721,0.0524,0.4721
real,ga,53.76,0.2743,46.78,0.457,4.9129,0.4978
real,mozaffari2016,11.8,0.31,125.1433,0.0751,0.0394,0.0751
real,pso,55.6267,0.2836,27.8,0.4815,3.8778,0.5121
real,random,29.3733,0.2994,234.9433,0.2473,0.0324,0.2489
real,static,13.4533,0.06,97.69,0.1588,0.0008,0.1588
uniform,alzenad2017,52.2667,0.2753,24.72,0.4261,0.114,0.4261
uniform,centroid,36.2,0.2711,63.89,0.3,0.0721,0.3
uniform,ga,45.8533,0.2567,53.9167,0.3787,3.8652,0.4094
uniform,mozaffari2016,13.76,0.2867,37.26,0.1001,0.0473,0.1001
uniform,pso,45.08,0.2594,54.79,0.3723,3.867,0.4034
uniform,random,27.3733,0.2817,82.0167,0.2255,0.0363,0.2269
uniform,static,23.9867,0.06,59.73,0.2004,0.0019,0.2004
