scenario,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
epicenter_biased_N250_K10,alzenad2017,centroid,30,0.0,1.862645149230957e-09,-0.1268450492515212,-1.0,-0.14863107814087445,-0.10672602250325487,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,centroid,30,0.0,1.862645149230957e-09,0.12609680014811425,1.0,0.1164774748505026,0.13623171796392874,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,alzenad2017,mozaffari2016,30,0.0,1.862645149230957e-09,0.4177484831682406,1.0,0.4136545874222564,0.4220549740430463,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,pso,30,0.0,1.862645149230957e-09,-0.16540957894899294,-1.0,-0.18799289827505938,-0.14462934281432527,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,pso,30,0.0,1.862645149230957e-09,-0.05341802600718169,-1.0,-0.06142980535738083,-0.04530455253667463,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,mozaffari2016,30,0.0,1.862645149230957e-09,0.32597535031661345,1.0,0.3155653830033007,0.33610866364019276,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,mozaffari2016,30,0.0,1.862645149230957e-09,0.3846901574883599,1.0,0.36849975855026557,0.40066196944866445,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,centroid,mozaffari2016,30,0.0,1.862645149230957e-09,0.19987855016849912,1.0,0.18789710810053623,0.21200804098131346,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,centroid,ga,30,0.0,1.862645149230957e-09,-0.10941464226516509,-1.0,-0.11974046289524697,-0.09957783008864139,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,static,30,0.0,1.862645149230957e-09,0.2257225264955795,1.0,0.2122467946693087,0.23888058287942798,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,alzenad2017,static,30,0.0,1.862645149230957e-09,0.33407417866712236,1.0,0.30938300679420255,0.3571998520834334,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,static,30,0.0,1.862645149230957e-09,0.4117358241470834,1.0,0.3796929485879775,0.44106189740506146,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,random,30,0.0,1.862645149230957e-09,0.1992530100870908,1.0,0.18985695043156375,0.2088191867571287,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,alzenad2017,random,30,0.0,1.862645149230957e-09,0.24398752684404634,1.0,0.23139165427003228,0.25536357547537253,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,random,30,0.0,1.862645149230957e-09,0.2198532185719297,1.0,0.1975882878075166,0.24222636045902132,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,random,30,0.0,1.862645149230957e-09,0.2500067474252163,1.0,0.23241463343970836,0.26611913940120446,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,centroid,mozaffari2016,30,0.0,1.862645149230957e-09,0.2515993172442991,1.0,0.23227305523785008,0.27237812557426405,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,centroid,mozaffari2016,30,0.0,1.862645149230957e-09,0.3969603554171917,1.0,0.3911131240761023,0.4031234947168495,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,centroid,mozaffari2016,30,0.0,1.862645149230957e-09,0.4035362507385978,1.0,0.3841065447019572,0.4234759620762973,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,ga,mozaffari2016,30,0.0,1.862645149230957e-09,0.3092931924336642,1.0,0.2976738409769278,0.3205416202438981,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,ga,mozaffari2016,30,0.0,1.862645149230957e-09,0.40548583691570894,1.0,0.3882303928496499,0.4230313624287549,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,ga,mozaffari2016,30,0.0,1.862645149230957e-09,0.20954512880573617,1.0,0.17618392286146878,0.24516256798814545,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,centroid,static,30,0.0,1.862645149230957e-09,0.3132860509160735,1.0,0.2882540102473374,0.3359245981067695,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,ga,mozaffari2016,30,0.0,1.862645149230957e-09,0.42264137224246207,1.0,0.41633182065761504,0.4289062515329502,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,centroid,static,30,0.0,1.862645149230957e-09,0.43058191739732127,1.0,0.40057718437203116,0.45783879637696023,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,centroid,random,30,0.0,1.862645149230957e-09,0.22319939909299738,1.0,0.21029718447046747,0.23498806055326996,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,centroid,random,30,0.0,1.862645149230957e-09,0.346698267823451,1.0,0.3285304087142765,0.3650291328010626,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,centroid,random,30,0.0,1.862645149230957e-09,0.26885284067545423,1.0,0.24975883989308928,0.2868928959131118,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,centroid,pso,30,0.0,1.862645149230957e-09,-0.10338087475477446,-1.0,-0.11274299293909817,-0.09484731965966753,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,centroid,pso,30,0.0,1.862645149230957e-09,-0.040068001452419816,-1.0,-0.04684991134527637,-0.033375256693029466,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,centroid,pso,30,0.0,1.862645149230957e-09,-0.03856452969747172,-1.0,-0.04588226666179217,-0.031356163882304486,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,centroid,pso,30,0.0,1.862645149230957e-09,-0.034571932756943695,-1.0,-0.04197616128672832,-0.027896295395309946,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,mozaffari2016,pso,30,0.0,1.862645149230957e-09,-0.4370283568696116,-1.0,-0.4407935097698895,-0.4332514292286853,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,mozaffari2016,pso,30,0.0,1.862645149230957e-09,-0.29016384694177083,-1.0,-0.311602980547302,-0.26975683642727805,True,table,,final_fitness,wilcoxon,holm
