distribution,method,coverage_pct,movement_battery_frac,l_imb,convergence_auc,wall_time_s,final_fitness
clustered,alzenad2017,87.72,0.2797,530.5233,0.7137,0.0728,0.7137
clustered,centroid,84.48,0.2867,380.26,0.6912,0.1011,0.6912
clustered,ga,79.4267,0.2608,535.53,0.612,4.3835,0.6644
clustered,mozaffari2016,19.2,0.2803,427.22,0.1398,0.0274,0.1398
clustered,pso,86.2533,0.2812,440.5833,0.677,4.3952,0.7053
clustered,random,37.0933,0.2869,860.3467,0.306,0.0182,0.309
clustered,static,12.04,0.06,145.93,0.1032,0.0008,0.1032
epicenter_biased,alzenad2017,76.7333,0.1937,1069.4433,0.639,0.0705,0.639
epicenter_biased,centroid,93.8,0.1814,327.8233,0.7739,0.0613,0.7739
epicenter_biased,ga,83.12,0.2042,1562.66,0.6297,4.2857,0.716
epicenter_biased,mozaffari2016,51.56,0.1971,1159.55,0.42,0.0242,0.42
epicenter_biased,pso,93.8933,0.1815,335.76,0.7733,0.4552,0.775
epicenter_biased,random,36.12,0.2701,1531.0167,0.309,0.0156,0.3145
epicenter_biased,static,43.0267,0.06,366.43,0.3685,0.0012,0.3685
real,alzenad2017,76.04,0.3255,321.2433,0.6006,0.0852,0.6006
real,centroid,63.5733,0.2927,334.46,0.5275,0.0479,0.5275
real,ga,64.44,0.2783,294.3033,0.4988,4.2696,0.5528
real,mozaffari2016,11.8,0.31,125.1433,0.0751,0.0269,0.0751
real,pso,65.56,0.2886,328.2033,0.5202,3.6326,0.5589
real,random,31.7733,0.3004,395.61,0.2557,0.0174,0.2573
real,static,13.52,0.06,101.6067,0.1593,0.0008,0.1593
uniform,alzenad2017,54.0533,0.2753,53.1067,0.4361,0.1143,0.4361
uniform,centroid,36.2533,0.2711,65.51,0.3002,0.0723,0.3002
uniform,ga,46.2533,0.2519,68.55,0.3807,3.8333,0.4111
uniform,mozaffari2016,13.76,0.2867,37.26,0.1001,0.0404,0.1001
uniform,pso,45.3067,0.2614,64.4733,0.373,3.8433,0.4045
uniform,random,27.5067,0.2812,83.2167,0.2256,0.0363,0.2269
uniform,static,24.0133,0.06,60.97,0.2005,0.0019,0.2005
