scenario,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
epicenter_biased_N250_K10,alzenad2017,centroid,30,0.0,1.862645149230957e-09,-0.134949656608406,-1.0,-0.16790541448689378,-0.10515754169734562,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,alzenad2017,centroid,30,0.0,1.862645149230957e-09,0.07308056220242289,1.0,0.06783467133345135,0.07873067458540921,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,centroid,30,0.0,1.862645149230957e-09,0.13583951477821177,1.0,0.12610608050299965,0.14568055851483913,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,alzenad2017,ga,30,0.0,1.862645149230957e-09,0.04778026407307219,1.0,0.03481205172878931,0.06291918999376708,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,pso,30,0.0,1.862645149230957e-09,-0.1360496422276197,-1.0,-0.16798969033576663,-0.1069265409641999,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,mozaffari2016,30,0.0,1.862645149230957e-09,0.3359478873327541,1.0,0.3246295130542294,0.34706759842353424,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,alzenad2017,mozaffari2016,30,0.0,1.862645149230957e-09,0.5255044729706752,1.0,0.5206359747565935,0.5305718775255357,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,mozaffari2016,30,0.0,1.862645149230957e-09,0.5739564849578824,1.0,0.5536723454329442,0.5942596625410159,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,alzenad2017,pso,30,0.0,1.862645149230957e-09,0.04168627588001705,1.0,0.03741015654976218,0.0459611480969291,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,static,30,0.0,1.862645149230957e-09,0.23555889987283232,1.0,0.22149595960735902,0.24894389320422866,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,alzenad2017,static,30,0.0,1.862645149230957e-09,0.4413076315591855,1.0,0.4171793342128262,0.4640308881705093,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,static,30,0.0,1.862645149230957e-09,0.6105599799560135,1.0,0.5789641792288267,0.6395087077169513,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,random,30,0.0,1.862645149230957e-09,0.20919058428978846,1.0,0.19949182352683023,0.2192148288973976,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,alzenad2017,random,30,0.0,1.862645149230957e-09,0.3433115980865292,1.0,0.3291024150697067,0.3557985580581858,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,random,30,0.0,1.862645149230957e-09,0.32444946446942813,1.0,0.29134366517675186,0.3571439478468786,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,random,30,0.0,1.862645149230957e-09,0.40467884771852525,1.0,0.38781803623353195,0.42014941912112697,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,centroid,mozaffari2016,30,0.0,1.862645149230957e-09,0.2001083725545422,1.0,0.18809317041730772,0.21224972351477497,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,centroid,mozaffari2016,30,0.0,1.862645149230957e-09,0.4524239107682521,1.0,0.44617685062477125,0.4584190385706852,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,centroid,mozaffari2016,30,0.0,1.862645149230957e-09,0.3539159986610481,1.0,0.32321309302234336,0.38684400547611414,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,centroid,mozaffari2016,30,0.0,1.862645149230957e-09,0.5514757597923757,1.0,0.528560752711078,0.5746480553203981,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,centroid,ga,30,0.0,1.862645149230957e-09,-0.11087651397490064,-1.0,-0.12280852177632219,-0.09992214800907287,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,ga,mozaffari2016,30,0.0,1.862645149230957e-09,0.3109848865294429,1.0,0.2979128306651397,0.3240816739864558,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,ga,mozaffari2016,30,0.0,1.862645149230957e-09,0.2959718592176105,1.0,0.25760961659238807,0.33823222980837997,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,ga,mozaffari2016,30,0.0,1.862645149230957e-09,0.4777242088976028,1.0,0.46395692665849436,0.48948102282724326,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,centroid,static,30,0.0,1.862645149230957e-09,0.5880792547905069,1.0,0.55723768468,0.616672143066628,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,centroid,static,30,0.0,1.862645149230957e-09,0.405445458715791,1.0,0.309228700290625,0.5016305314020386,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,centroid,static,30,0.0,1.862645149230957e-09,0.3682270693567627,1.0,0.34438523093780476,0.389817106104799,True,table,,final_fitness,wilcoxon,holm
