distribution,method,coverage_pct,movement_battery_frac,l_imb,convergence_auc,wall_time_s,final_fitness
clustered,alzenad2017,54.8,0.2839,161.4,0.4917,0.0659,0.4917
clustered,centroid,56.78,0.2895,149.825,0.5183,0.045,0.5183
clustered,ga,56.3,0.2679,152.575,0.4858,4.9418,0.5231
clustered,mozaffari2016,16.62,0.2791,267.345,0.1233,0.0235,0.1233
clustered,pso,59.4,0.2869,146.01,0.5411,3.5017,0.5577
clustered,random,29.02,0.2879,396.125,0.2504,0.016,0.2528
clustered,static,12.52,0.06,148.22,0.1096,0.0008,0.1096
epicenter_biased,alzenad2017,47.82,0.2039,287.285,0.4181,0.0806,0.4181
epicenter_biased,centroid,57.24,0.1959,187.58,0.5396,0.0558,0.5396
epicenter_biased,ga,49.88,0.1962,406.98,0.4183,4.2079,0.4939
epicenter_biased,mozaffari2016,34.6,0.2061,374.68,0.2933,0.0315,0.2933
epicenter_biased,pso,59.88,0.1734,158.91,0.5814,3.6129,0.5824
epicenter_biased,random,22.08,0.2694,529.65,0.1896,0.0171,0.1931
epicenter_biased,static,23.68,0.06,144.53,0.2109,0.001,0.2109
real,alzenad2017,54.42,0.3262,102.805,0.4662,0.0771,0.4662
real,centroid,50.14,0.2981,109.645,0.4409,0.0428,0.4409
real,ga,52.74,0.2787,125.355,0.4455,3.5806,0.4872
real,mozaffari2016,11.56,0.3113,115.57,0.0732,0.0241,0.0732
real,pso,54.4,0.2829,157.49,0.4726,3.8002,0.5019
real,random,28.62,0.307,248.845,0.2382,0.0171,0.2394
real,static,13.26,0.06,86.605,0.1577,0.0008,0.1577
uniform,alzenad2017,48.5,0.2771,54.365,0.3985,0.0944,0.3985
uniform,centroid,35.62,0.2675,61.665,0.2989,0.0431,0.2989
uniform,ga,43.16,0.2608,54.91,0.3674,3.888,0.3932
uniform,mozaffari2016,13.44,0.2919,38.03,0.0987,0.0264,0.0987
uniform,pso,43.36,0.2513,68.66,0.3666,4.1475,0.3962
uniform,random,27.36,0.2773,79.99,0.2278,0.0207,0.2292
uniform,static,23.82,0.06,54.125,0.2003,0.0012,0.2003
