scenario,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
epicenter_biased_N250_K10,alzenad2017,centroid,20,0.0,1.9073486328125e-06,-0.12152501213353957,-1.0,-0.1505390291861839,-0.09520238693740522,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,centroid,20,0.0,1.9073486328125e-06,0.09964555953575399,1.0,0.08622294127783031,0.11454944637808069,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,alzenad2017,mozaffari2016,20,0.0,1.9073486328125e-06,0.3929648808601026,1.0,0.37575388327192294,0.41022585736484946,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,pso,20,0.0,1.9073486328125e-06,-0.1642888414275888,-1.0,-0.19267041467078014,-0.13851116614154207,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,pso,20,0.0,1.9073486328125e-06,-0.06605165718883407,-1.0,-0.07757961743229785,-0.05436076672899904,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,mozaffari2016,20,0.0,1.9073486328125e-06,0.2998381097749331,1.0,0.28538802797324186,0.31390109542947037,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,mozaffari2016,20,0.0,1.9073486328125e-06,0.36838907613203,1.0,0.34489728165977607,0.391467771078658,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,centroid,mozaffari2016,20,0.0,1.9073486328125e-06,0.2001925502391791,1.0,0.18742928121708138,0.2131290923062658,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,centroid,ga,20,0.0,1.9073486328125e-06,-0.09428614156135326,-1.0,-0.10986813745535948,-0.08114403906966111,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,static,20,0.0,1.9073486328125e-06,0.19825278968919718,1.0,0.183750162042566,0.21203650402572946,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,alzenad2017,static,20,0.0,1.9073486328125e-06,0.3084718021307595,1.0,0.2701717768934074,0.34366807383492726,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,static,20,0.0,1.9073486328125e-06,0.3821106418287724,1.0,0.33426415190520475,0.42663056887075296,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,random,20,0.0,1.9073486328125e-06,0.16928869160626364,1.0,0.1559535978691691,0.18210563430574883,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,alzenad2017,random,20,0.0,1.9073486328125e-06,0.22677868984654714,1.0,0.20788140231722774,0.2453871190099623,True,table,,final_fitness,wilcoxon,holm
