distribution,method,coverage_pct,movement_battery_frac,l_imb,convergence_auc,wall_time_s,final_fitness
clustered,alzenad2017,88.06,0.2547,526.025,0.7187,0.0667,0.7187
clustered,centroid,83.56,0.2441,398.97,0.6917,0.0571,0.6917
clustered,ga,80.42,0.2434,413.875,0.6179,5.2985,0.6728
clustered,mozaffari2016,19.74,0.2711,442.665,0.1431,0.0237,0.1431
clustered,pso,87.5,0.2457,373.155,0.6866,3.5775,0.7158
clustered,random,37.44,0.2676,917.65,0.3059,0.017,0.309
clustered,static,58.74,0.06,362.975,0.4939,0.0014,0.4939
epicenter_biased,alzenad2017,77.52,0.1527,1042.54,0.6466,0.0701,0.6466
epicenter_biased,centroid,93.36,0.1454,397.66,0.7754,0.0631,0.7754
epicenter_biased,ga,83.76,0.1741,1566.47,0.6329,4.2606,0.7223
epicenter_biased,mozaffari2016,52.98,0.1634,1192.915,0.4362,0.0247,0.4362
epicenter_biased,pso,93.18,0.141,323.425,0.774,0.2993,0.7753
epicenter_biased,random,35.12,0.2581,1506.4,0.3022,0.0155,0.3086
epicenter_biased,static,80.06,0.06,379.625,0.6912,0.0017,0.6912
real,alzenad2017,76.18,0.2757,314.415,0.6055,0.0783,0.6055
real,centroid,65.42,0.2654,321.085,0.5387,0.0494,0.5387
real,ga,66.4,0.2544,303.57,0.511,3.9571,0.5628
real,mozaffari2016,11.78,0.2891,124.305,0.0751,0.0241,0.0751
real,pso,65.58,0.2489,342.855,0.5217,3.7012,0.5594
real,random,31.94,0.2632,404.595,0.2545,0.0175,0.2559
real,static,41.76,0.06,224.0,0.3494,0.0012,0.3494
uniform,alzenad2017,54.36,0.2729,54.76,0.4376,0.0954,0.4376
uniform,centroid,37.16,0.2739,65.1,0.3089,0.0459,0.3089
uniform,ga,46.74,0.2574,68.635,0.3832,3.9433,0.4154
uniform,mozaffari2016,13.46,0.3003,38.585,0.0983,0.0267,0.0983
uniform,pso,45.26,0.2638,68.835,0.3735,4.144,0.407
uniform,random,27.58,0.276,88.565,0.2297,0.0208,0.2311
uniform,static,26.18,0.06,57.355,0.2177,0.0013,0.2177
