scenario,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
epicenter_biased_N250_K10,alzenad2017,centroid,20,0.0,1.9073486328125e-06,-0.12877645552878844,-1.0,-0.16916751659449855,-0.09417303640080721,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,alzenad2017,centroid,20,0.0,1.9073486328125e-06,0.06682830973413663,1.0,0.058834872951291466,0.07495440982168529,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,centroid,20,0.0,1.9073486328125e-06,0.12870264384597815,1.0,0.11773373572154283,0.13988218458592502,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,alzenad2017,ga,20,0.0,1.9073486328125e-06,0.04268769503884236,1.0,0.03036313592531546,0.057904953184745984,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,pso,20,0.0,1.9073486328125e-06,-0.12863951569390816,-1.0,-0.16651762165143158,-0.096021953378373,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,mozaffari2016,20,0.0,1.9073486328125e-06,0.33927919592192346,1.0,0.3258881239273547,0.35227756132821997,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,alzenad2017,mozaffari2016,20,0.0,1.9073486328125e-06,0.5303656211575996,1.0,0.5238078004315548,0.5370641405248804,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,mozaffari2016,20,0.0,1.9073486328125e-06,0.5756742987620395,1.0,0.5507806961530893,0.5999947264343111,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,alzenad2017,pso,20,0.0,1.9073486328125e-06,0.04610818472908753,1.0,0.039652464988985385,0.05200904074309733,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,static,20,0.0,1.9073486328125e-06,0.21988606675182948,1.0,0.20486011652073827,0.23382270404887934,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,alzenad2017,static,20,0.0,1.9073486328125e-06,0.2560589085633803,1.0,0.23676515650523375,0.27436489153098265,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,static,20,0.0,1.9073486328125e-06,0.22488774275054765,1.0,0.1952211456994199,0.25489595499917433,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,random,20,0.0,1.9073486328125e-06,0.20647588276712545,1.0,0.1954415510145961,0.2161586917432821,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,alzenad2017,random,20,0.0,1.9073486328125e-06,0.34959416131840093,1.0,0.32997642026437696,0.3660709765882103,True,table,,final_fitness,wilcoxon,holm
