harness,method,N,K,capacity,seed_idx,job_seed,seed,partition_seed
uav,mclp_place,200,5,6,0,16076,2761,5309
uav,mclp_place,200,5,6,1,23995,27070,5310
uav,mclp_place,200,5,6,2,31914,18607,5311
uav,mclp_place,200,5,6,3,39833,44956,5312
uav,mclp_place,200,5,6,4,47752,36493,5313
uav,mclp_place,200,5,6,5,55671,60786,5314
uav,mclp_place,200,5,6,6,63590,52323,5315
uav,mclp_place,200,5,6,7,71509,74576,5316
uav,mclp_place,200,5,6,8,79428,66113,5317
uav,mclp_place,200,5,6,9,87347,90422,5318
uav,mclp_place,200,10,6,0,16076,2761,5309
uav,mclp_place,200,10,6,1,23995,27070,5310
uav,mclp_place,200,10,6,2,31914,18607,5311
uav,mclp_place,200,10,6,3,39833,44956,5312
uav,mclp_place,200,10,6,4,47752,36493,5313
uav,mclp_place,200,10,6,5,55671,60786,5314
uav,mclp_place,200,10,6,6,63590,52323,5315
uav,mclp_place,200,10,6,7,71509,74576,5316
uav,mclp_place,200,10,6,8,79428,66113,5317
uav,mclp_place,200,10,6,9,87347,90422,5318
uav,mclp_place,200,15,6,0,16076,2761,5309
uav,mclp_place,200,15,6,1,23995,27070,5310
uav,mclp_place,200,15,6,2,31914,18607,5311
uav,mclp_place,200,15,6,3,39833,44956,5312
uav,mclp_place,200,15,6,4,47752,36493,5313
uav,mclp_place,200,15,6,5,55671,60786,5314
uav,mclp_place,200,15,6,6,63590,52323,5315
uav,mclp_place,200,15,6,7,71509,74576,5316
uav,mclp_place,200,15,6,8,79428,66113,5317
uav,mclp_place,200,15,6,9,87347,90422,5318
uav,mclp_place,200,20,6,0,16076,2761,5309
uav,mclp_place,200,20,6,1,23995,27070,5310
uav,mclp_place,200,20,6,2,31914,18607,5311
uav,mclp_place,200,20,6,3,39833,44956,5312
uav,mclp_place,200,20,6,4,47752,36493,5313
uav,mclp_place,200,20,6,5,55671,60786,5314
uav,mclp_place,200,20,6,6,63590,52323,5315
uav,mclp_place,200,20,6,7,71509,74576,5316
uav,mclp_place,200,20,6,8,79428,66113,5317
uav,mclp_place,200,20,6,9,87347,90422,5318
uav,mclp_place,200,30,6,0,16076,2761,5309
uav,mclp_place,200,30,6,1,23995,27070,5310
uav,mclp_place,200,30,6,2,31914,18607,5311
uav,mclp_place,200,30,6,3,39833,44956,5312
uav,mclp_place,200,30,6,4,47752,36493,5313
uav,mclp_place,200,30,6,5,55671,60786,5314
uav,mclp_place,200,30,6,6,63590,52323,5315
uav,mclp_place,200,30,6,7,71509,74576,5316
uav,mclp_place,200,30,6,8,79428,66113,5317
uav,mclp_place,200,30,6,9,87347,90422,5318
